,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status,Current Price,Shares Outstanding
316,N/A,N/A,stz,N/A,N/A,N/A,N/A,N/A,124.518,24.72,5.12,5.1633015,0.21901,0.31554002,0.07972,0.22596,37.342,38490000000.0,21.759466,21.759466,1.71,0.18420577,0.18420577,7330000000.0,3530000000.0,2590000000.0,1620000000.0,7.973,0.29,0.034,1700000000.0,1.022,9210000000.0,1.54,37.844,1730000000.0,0.083318,0.08736,0.875,3690000.0,2.66,0.02262700,3640000.0,N/A,195.4,171450000.0
317,N/A,N/A,key,N/A,N/A,N/A,N/A,N/A,5.276,22.29,4.05,1.5001574,0.17782,0.34548,0.00796,0.07117,5.276,20990000000.0,12.06962,12.06962,1.63,0.6774193,0.6774193,5390000000.0,3700000000.0,13960000000.0,0.859,0.859,0.221,0.514,1690000000.0,1.872,13960000000.0,5210000000.0,12.712,0.221,0.914521,0.00158,0.83199996,13460000.0,1.57,0.01252500,12250000.0,N/A,19.07,1100000000.0
318,N/A,N/A,nsc,N/A,N/A,N/A,N/A,N/A,83.013,21.21,3.53,2.8638184,0.17066999,0.31106,0.05664999,0.13851,34.368,35720000000.0,17.535412,17.535412,1.59,0.3854332,0.3854332,9890000000.0,6840000000.0,4160000000.0,1710000000.0,5.813,0.147,0.064,3030000000.0,3.296,10400000000.0,0.953,43.229,0.147,1.47598,0.00296999,0.698,4050000.0,2.38,0.014471,3680000.0,N/A,123.8,289780000.0
319,N/A,N/A,exc,N/A,N/A,N/A,N/A,N/A,132.12,17.17,1.02,1.2605159,0.06010000,0.11802,0.02098,0.07431000,35.173,33400000000.0,12.538194,12.538194,10.62,0.01948940,0.01948940,31360000000.0,8670000000.0,9160000000.0,1960000000.0,2.101,4.709,0.156,8449999999.999999,0.658,37380000000.0,0.845,28.647,8170000000.0,0.37608,0.00217999,0.84800005,22760000.0,3.68,0.02465199,17280000.0,N/A,36.11,926100000.0
320,N/A,N/A,avb,N/A,N/A,N/A,N/A,N/A,68.18,24.91,12.51,2.503915,0.5044,0.3729,0.02723,0.10248,14.934,25690000000.0,35.976925,35.976925,7.1,0.00344693,0.00344693,2050000000.0,2050000000.0,1310000000.0,1030000000.0,7.505,0.01,0.011,1140000000.0,0.886,7010000000.0,1.075,74.715,1160000000.0,0.530329,0.00446,1.006,4950000.0,6.85,0.04885399,4970000.0,N/A,187.08,137790000.0
321,N/A,N/A,dlx,N/A,N/A,N/A,N/A,N/A,80.981,15.20,1.82,3.7499335,0.12162,0.20186001,0.11858,0.26911,38.754,3420000000.0,12.8130665,12.8130665,1.8,0.02613890,0.02613890,1850000000.0,1180000000.0,439840000.0,226530000.0,4.639,0.011,0.062,319310000.0,1.763,739490000.0,0.954,18.827,320990000.0,1.02233,0.01228,0.91,4560000.0,16.69,0.10609,4650000.0,N/A,70.6,48500000.0
322,N/A,N/A,bf-b,N/A,N/A,N/A,N/A,N/A,156.861,27.89,6.08,13.408747,0.22344999,0.33099997,0.14064,0.45634,7.722,18320000000.0,23.561083,23.561083,3.24,0.03759396,0.03759396,2990000000.0,2020000000.0,1050000000.0,1.71,1.71,0.715,0.047,1070000000.0000001,0.474,2150000000.0,2.424,3.567,0.715,0.870215,0.02812,0.515,3910000.0,8.2,0.036,3870000.0,N/A,47.829,215190000.0
323,N/A,N/A,tif,N/A,N/A,N/A,N/A,N/A,34.836,25.67,2.82,3.7495825,0.11259,0.18892,0.09235,0.14965001,32.152,11520000000.0,21.40314,21.40314,2.55,0.44926608,0.44926608,1510000000.0,2490000000.0,964900000.0,451500000.0,3.602,0.072,0.009,702100000.0,7.702,1070000000.0000001,6.171,24.545,733600000.0,1.80691,0.13196,0.809,4450000.0,2.58,0.041398,4720000.0,N/A,92.0335,124650000.0
324,N/A,N/A,jnpr,N/A,N/A,N/A,N/A,N/A,42.531,18.45,2.18,2.2118902,0.11932000,0.18223,0.06277,0.12636,13.416,11150000000.0,12.296611,12.296611,1.08,0.2601732,0.2601732,4990000000.0,3100000000.0,1140000000.0,610100000.0,1.581,0.217,0.112,1110000000.0,7.81,2130000000.0,2.524,13.12,1480000000.0,1.43883,0.07809999,0.81,14320000.0,2.52,0.043476,12390000.0,N/A,29.02,382100000.0
325,N/A,N/A,dvn,N/A,N/A,N/A,N/A,N/A,95.376,52.31,1.39,2.5396566,0.02757,0.12005,0.0317,0.03201,22.325,16200000000.0,13.692983,13.692983,3.21,0.23694074,0.23694074,12200000000.0,10620000000.0,3090000000.0,0.589,0.589,0.585,0.585,1750000000.0,4.033,10420000000.0,1.528,12.293,2420000000.0,2.44219,0.05835,0.791,9890000.0,2.05,0.018869,8760000.0,N/A,31.22,525700000.0
326,N/A,N/A,stx,N/A,N/A,N/A,N/A,N/A,325.311,16.34,1.04,7.3086143,0.06607,0.11408,0.08675,0.44242,37.132,11780000000.0,8.557235,8.557235,0.49,0.31925046,0.31925046,11160000000.0,2620000000.0,1960000000.0,2.43,2.43,0.03,0.03,1680000000.0,10.201,5230000000.0,1.958,5.421,1940000000.0,1.70649,0.11385000,0.88699996,29600000.0,7.17,0.131559,26960000.0,N/A,39.62,296630000.0
327,N/A,N/A,bk,N/A,N/A,N/A,N/A,N/A,14.551,15.83,3.48,1.4958314,0.23751,0.33247003,0.01035,0.09295,14.551,53500000000.0,13.095601,13.095601,1.4,0.30734062,0.30734062,15170000000.0,15170000000.0,64769999999.99999,3450000000.0,3.251,0.137,0.034,6250000000.0,107.762,64769999999.99999,15380000000.0,34.231,3220000000.0,1.07496,0.03579,0.83800006,10340000.0,2.14,0.01031700,11640000.0,N/A,51.2038,1040000000.0
328,N/A,N/A,ntrs,N/A,N/A,N/A,N/A,N/A,22.334,22.34,4.42,2.4604979,0.20908001,0.31739,0.00889,0.11304,22.334,22490000000.0,17.853481,17.853481,1.6,0.4768442,0.4768442,5140000000.0,3470000000.0,8810000000.0,1010000000.0,4.385,0.064,0.082,1510000000.0,61.577,8810000000.0,5090000000.0,39.618,2590000000.0,1.07636,0.00474000,0.84300005,2080000.0,2.17,0.009991,2210000.0,N/A,97.48,229590000.0
329,N/A,N/A,hpq,N/A,N/A,N/A,N/A,N/A,29.033,12.76,0.61,0.111,0.04942,0.08004,0.09130999,2800000000.0,29.033,30370000000.0,10.398844,10.398844,2.04,0.30758023,0.30758023,48240000000.0,1210000000.0,4300000000.0,2530000000.0,1.414,0.089,0.069,3230000000.0,3.697,6820000000.0,0.984,2.35,2980000000.0,1.7899,3.14,3.14,32479999.999999996,3.14,0.019087,31680000.0,N/A,17.99,1690000000.0
330,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,43.035,25.52,0.55,1.9008608,0.02223000,0.01107,0.01065000,0.07638,146.106,42440000000.0,13.614876,13.614876,2.25,0.07801044,0.07801044,84280000000.0,17540000000.0,2049999999.9999998,1700000000.0,3.223,0.417,0.413,2960000000.0,2.932,10210000000.0,1.394,43.333,2160000000.0,0.891049,0.10838000,0.68,8780000.0,4.2,0.020154,9970000.0,N/A,82.37,516100000.0
331,N/A,N/A,pki,N/A,N/A,N/A,N/A,N/A,47.753,33.64,3.54,3.43363,0.10576,0.1456,0.04537,0.09864,19.513,7590000000.0,21.507788,21.507788,2.44,0.2542466,0.2542466,2120000000.0,1010000000.0,409680000.0,210020000.0,2.051,0.18,0.032,350620000.0,2.62,1050000000.0,1.859,20.107,372310000.0,0.996989,0.00918,0.96300006,2350000.0,4.12,0.021641,2810000.0,N/A,69.04,110040000.0
332,N/A,N/A,fitb,N/A,N/A,N/A,N/A,N/A,7.618,13.66,3.43,1.2922298,0.26971,0.34662,0.01089,0.09380999,7.618,19590000000.0,13.005,13.005,2.63,0.46394646,0.46394646,6890000000.0,3900000000.0,16320000000.0,1450000000.0,1.912,0.046,0.061,2109999999.9999998,4.985,16320000000.0,5720000000.0,20.128,2260000000.0,1.42586,0.0034,0.802,17390000.0,2.97,0.02318099,20430000.0,N/A,26.01,750270000.0
333,N/A,N/A,hp,N/A,N/A,N/A,N/A,N/A,11.326,N/A,3.98,1.3490162,0.12086,0.10630999,0.01442,0.03879,13.6,5810000000.0,385.85715,385.85715,3.35,0.22731829,0.22731829,1620000000.0,725430000.0,387170000.0,178900000.0,1.66,0.075,0.075,753600000.0,7.274,492370000.0,4.525,40.044,407440000.0,1.20203,0.02841,0.995,19640000.0,8.78,0.20758,20040000.0,N/A,54.02,108570000.0
334,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,293.544,N/A,11.47,46.07375,0.27135,0.21478,0.05585,0.55967,9.048,23510000000.0,90.0,90.0,7.47,0.8177066,0.8177066,2030000000.0,1690000000.0,294200000.0,2.455,2.455,0.051,0.051,169700000.0,8.219,1490000000.0,1.044,2.305,50500000.0,2.33883,0.00212,0.951,5420000.0,1.98,0.029868,7470000.0,N/A,106.2,220390000.0
335,N/A,N/A,ppg,N/A,N/A,N/A,N/A,N/A,83.636,34.24,1.92,5.5218096,0.05847,0.14151,0.07809,0.11031,56.161,28650000000.0,16.194645,16.194645,1.8,0.02088320,0.02088320,14750000000.0,6690000000.0,2550000000.0,3.266,3.266,0.002,0.007,1320000000.0,5.437,4420000000.0,1.555,20.266,1260000000.0,1.68142,0.00375,0.739,3290000.0,2.7,0.012893,3220000.0,N/A,111.905,256200000.0
336,N/A,N/A,dlph,N/A,N/A,N/A,N/A,N/A,135.605,21.58,1.45,9.637515,0.06905,0.13945,0.11991999,0.44162,62.331,24810000000.0,12.851801,12.851801,1.09,0.37648118,0.37648118,16660000000.0,3550000000.0,3040000000.0,1170000000.0,4.292,0.19,0.059,1940000000.0,2.042,0.974,1.341,9.628,1960000000.0,1.76824,0.00482,0.96599996,3210000.0,1.28,0.011952,4170000.0,N/A,92.79,267890000.0
337,N/A,N/A,bbry,N/A,N/A,N/A,N/A,N/A,29.547,40.74,4.61,1.9322593,0.11801,0.08217,0.01344,0.05102000,2.168,5260000000.0,142.21428,142.21428,155.03,0.47041404,0.47041404,1310000000.0,1630000000.0,5.194,0.243,0.243,0.412,0.412,1170000000.0,4.164,5.194,5.322,5.152,0.412,5.152,0.05865,0.602,48320000.0,6.32,0.049195,45210000.0,N/A,9.955,531480000.0
338,N/A,N/A,grmn,N/A,N/A,N/A,N/A,N/A,16.089,14.37,3.12,2.5565438,0.21777001,0.20983,0.08829000,0.18504,16.089,9460000000.0,18.357664,18.357664,4.84,0.12502801,0.12502801,3020000000.0,1680000000.0,724330000.0,660530000.0,3.5,1.739,0.023,705680000.0,5.804,2.596,3.774,19.675,696690000.0,0.775114,0.36247003,0.417,14950000.0,13.99,0.135833,15360000.0,N/A,50.3,188080000.0
339,N/A,N/A,tm,N/A,N/A,N/A,N/A,N/A,106.59,10.27,0.65,1.0420988,0.06635000,0.07227000,0.02592,0.10767999,163.78,1.6342e+11,0.06635000,0.06635000,0.01567483,0.01567483,0.01567483,2.4766e+11,43640000000.0,32180000000.0,16260000000.000002,10.698,0.03,0.068,30640000000.0,29.056,0.849,1.03,105.11,30480000000.0,0.64769,5.32,5.32,1250000.0,5.32,0.0,1270000.0,N/A,109.535,2970000000.0
340,N/A,N/A,wu,N/A,N/A,N/A,N/A,N/A,465.387,41.24,1.63,11.949685,0.04223,0.2027,0.07275,0.23042999,11.187,8960000000.0,10.734464,10.734464,1.94,0.05955946,0.05955946,5420000000.0,2150000000.0,1360000000.0,229200000.0,0.461,0.108,0.004,1040000000.0,2.826,3490000000.0,0.32,1.59,915500000.0,0.974223,0.00111000,1.113,52670000.0,13.5,0.146494,53780000.0,N/A,19.0,471250000.0
341,N/A,N/A,an,N/A,N/A,N/A,N/A,N/A,263.524,9.73,0.19,1.7211102,0.02,0.03755000,0.05053,0.1917,212.673,4160000000.0,9.894737,9.894737,1.87,0.20318335,0.20318335,21610000000.0,3310000000.0,958100000.0,433700000.0,4.228,0.08,0.004,244500000.0,0.556,6410000000.0,0.817,24.031,503400000.0,1.07949,0.27308,0.693,9140000.0,6.8,0.14351499,9050000.0,N/A,41.36,101260000.0
342,N/A,N/A,symc,N/A,N/A,N/A,N/A,N/A,234.758,N/A,4.39,5.198221,0.02637,0.04902,0.00822,0.06589,6.503,18200000000.0,14.831741,14.831741,0.74,0.3801142,0.3801142,4020000000.0,3170000000.0,8189999999.999999,0.172,0.172,0.277,0.277,6730000000.0,6.997,8189999999.999999,1.152,5.735,0.277,1.02232,0.00232,0.936,21140000.0,2.22,0.03983999,21140000.0,N/A,29.8118,608240000.0
343,N/A,N/A,big,N/A,N/A,N/A,N/A,N/A,17.694,12.75,0.40,3.1538825,0.03196,0.05025,0.10156000,0.26003,117.062,2080000000.0,10.576923,10.576923,0.88,0.11530435,0.11530435,5200000000.0,2100000000.0,368080000.0,165640000.0,3.683,0.456,0.012,311930000.0,1.487,115700000.0,1.518,14.823,318770000.0,0.49565,0.01302,1.3,0.01302,12.37,0.446628,0.01302,N/A,46.75,44210000.0
344,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,56.179,N/A,8.18,4.326741,0.18375,0.22042,0.03563999,0.09208999,3.044,11680000000.0,28.59091,28.59091,0.81,0.03936708,0.03936708,1160000000.0,607650000.0,686810000.0,260209999.99999997,0.559,0.842,0.842,392380000.0,1.155,1520000000.0,3.335,5.815,594640000.0,0.776149,0.0167,1.039,17770000.0,2.71,0.038752,21850000.0,N/A,25.16,465520000.0
345,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,41.107,14.88,0.40,1.5285891,0.02749000,0.04296,0.0454,0.10559,167.519,30430000000.0,11.6643715,11.6643715,0.77,0.3792894,0.3792894,75660000000.0,10440000000.0,5250000000.0,2100000000.0,4.573,0.357,0.432,4820000000.0,9.979,8490000000.0,2.014,44.335,5170000000.0,1.03175,0.00442,0.84199995,18160000.0,4.64,0.04058899,18200000.0,N/A,67.77,447230000.0
